2026-02-18 21:35:17|127.0.0.1|Unknown|XX|Unknown|Unknown|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-18 21:50:26|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-18 22:35:32|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-19 01:39:45|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-19 08:06:23|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-19 08:19:58|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-19 09:28:34|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-19 09:38:31|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-19 16:28:44|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 13:38:19|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 13:55:43|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 14:47:10|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 16:02:19|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 16:05:01|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 21:17:53|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 21:39:49|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 21:53:04|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 22:29:06|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 22:38:18|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 23:14:59|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-20 23:16:18|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
2026-02-21 00:21:52|127.0.0.1|Localhost|LO|Local|Dev|Desktop|Windows 10/11|Chrome|Direct|/svv/
